prophage_id	sample_id	length_bp	original_id
kansas_SRR13928113_NODE_82_length_6733_cov_7.522252	SRR13928113	6733	NODE_82_length_6733_cov_7.522252
kansas_SRR13928113_NODE_4_length_203644_cov_9.166021_fragment_1	SRR13928113	8332	NODE_4_length_203644_cov_9.166021_fragment_1
kansas_SRR13928113_NODE_4_length_203644_cov_9.166021_fragment_2	SRR13928113	34099	NODE_4_length_203644_cov_9.166021_fragment_2
kansas_SRR13928113_NODE_5_length_164707_cov_10.010105_fragment_1	SRR13928113	55277	NODE_5_length_164707_cov_10.010105_fragment_1
kansas_SRR13928113_NODE_43_length_35596_cov_10.199667_fragment_1	SRR13928113	9188	NODE_43_length_35596_cov_10.199667_fragment_1
kansas_SRR13928114_NODE_33_length_20600_cov_45.087921	SRR13928114	20600	NODE_33_length_20600_cov_45.087921
kansas_SRR13928114_NODE_7_length_247406_cov_45.986711_fragment_1	SRR13928114	37648	NODE_7_length_247406_cov_45.986711_fragment_1
kansas_SRR13928114_NODE_35_length_5839_cov_41.362045	SRR13928114	5839	NODE_35_length_5839_cov_41.362045
kansas_SRR13928114_NODE_36_length_5145_cov_40.327421	SRR13928114	5145	NODE_36_length_5145_cov_40.327421
kansas_SRR13928114_NODE_25_length_46077_cov_40.602372_fragment_1	SRR13928114	15505	NODE_25_length_46077_cov_40.602372_fragment_1
kansas_SRR13928114_NODE_6_length_274786_cov_41.295676_fragment_2	SRR13928114	35074	NODE_6_length_274786_cov_41.295676_fragment_2
kansas_SRR13928114_NODE_34_length_7180_cov_45.203460	SRR13928114	7180	NODE_34_length_7180_cov_45.203460
kansas_SRR13928114_NODE_37_length_4944_cov_42.831430	SRR13928114	4944	NODE_37_length_4944_cov_42.831430
kansas_SRR13928114_NODE_5_length_342322_cov_38.557679_fragment_1	SRR13928114	43635	NODE_5_length_342322_cov_38.557679_fragment_1
kansas_SRR13928115_NODE_22_length_86534_cov_33.742220_fragment_1	SRR13928115	19363	NODE_22_length_86534_cov_33.742220_fragment_1
kansas_SRR13928115_NODE_17_length_114970_cov_31.946971_fragment_1	SRR13928115	21269	NODE_17_length_114970_cov_31.946971_fragment_1
kansas_SRR13928115_NODE_3_length_410774_cov_32.781968_fragment_1	SRR13928115	35662	NODE_3_length_410774_cov_32.781968_fragment_1
kansas_SRR13928115_NODE_46_length_1532_cov_33.733808	SRR13928115	1532	NODE_46_length_1532_cov_33.733808
kansas_SRR13928115_NODE_40_length_2076_cov_36.545408	SRR13928115	2076	NODE_40_length_2076_cov_36.545408
kansas_SRR13928115_NODE_19_length_104821_cov_32.921027_fragment_1	SRR13928115	17053	NODE_19_length_104821_cov_32.921027_fragment_1
kansas_SRR13928115_NODE_8_length_174408_cov_33.883240_fragment_1	SRR13928115	29339	NODE_8_length_174408_cov_33.883240_fragment_1
kansas_SRR13928115_NODE_1_length_494444_cov_35.739740_fragment_1	SRR13928115	37177	NODE_1_length_494444_cov_35.739740_fragment_1
kansas_SRR13928115_NODE_14_length_133851_cov_31.280069_fragment_1	SRR13928115	32294	NODE_14_length_133851_cov_31.280069_fragment_1
