DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Prophage Length (bp)
COLOR	#9B59B6
WIDTH	200

DATA
kansas_SRR13928113_NODE_82_length_6733_cov_7.522252	6733
kansas_SRR13928113_NODE_4_length_203644_cov_9.166021_fragment_1	8332
kansas_SRR13928113_NODE_4_length_203644_cov_9.166021_fragment_2	34099
kansas_SRR13928113_NODE_5_length_164707_cov_10.010105_fragment_1	55277
kansas_SRR13928113_NODE_43_length_35596_cov_10.199667_fragment_1	9188
kansas_SRR13928114_NODE_33_length_20600_cov_45.087921	20600
kansas_SRR13928114_NODE_7_length_247406_cov_45.986711_fragment_1	37648
kansas_SRR13928114_NODE_35_length_5839_cov_41.362045	5839
kansas_SRR13928114_NODE_36_length_5145_cov_40.327421	5145
kansas_SRR13928114_NODE_25_length_46077_cov_40.602372_fragment_1	15505
kansas_SRR13928114_NODE_6_length_274786_cov_41.295676_fragment_2	35074
kansas_SRR13928114_NODE_34_length_7180_cov_45.203460	7180
kansas_SRR13928114_NODE_37_length_4944_cov_42.831430	4944
kansas_SRR13928114_NODE_5_length_342322_cov_38.557679_fragment_1	43635
kansas_SRR13928115_NODE_22_length_86534_cov_33.742220_fragment_1	19363
kansas_SRR13928115_NODE_17_length_114970_cov_31.946971_fragment_1	21269
kansas_SRR13928115_NODE_3_length_410774_cov_32.781968_fragment_1	35662
kansas_SRR13928115_NODE_46_length_1532_cov_33.733808	1532
kansas_SRR13928115_NODE_40_length_2076_cov_36.545408	2076
kansas_SRR13928115_NODE_19_length_104821_cov_32.921027_fragment_1	17053
kansas_SRR13928115_NODE_8_length_174408_cov_33.883240_fragment_1	29339
kansas_SRR13928115_NODE_1_length_494444_cov_35.739740_fragment_1	37177
kansas_SRR13928115_NODE_14_length_133851_cov_31.280069_fragment_1	32294
kansas_SRR13928116_NODE_206_length_6564_cov_4.653565	6564
kansas_SRR13928116_NODE_282_length_1822_cov_20.358702	1822
kansas_SRR13928116_NODE_156_length_12490_cov_12.967322	12490
kansas_SRR13928116_NODE_149_length_13548_cov_4.404068	13548
kansas_SRR13928116_NODE_146_length_14207_cov_18.401136	14207
kansas_SRR13928116_NODE_135_length_15397_cov_23.865357	15397
kansas_SRR13928116_NODE_251_length_3377_cov_15.929846	3377
kansas_SRR13928116_NODE_105_length_23037_cov_3.920297	23037
kansas_SRR13928116_NODE_52_length_47328_cov_18.173704	47328
kansas_SRR13928116_NODE_47_length_52070_cov_17.007296_fragment_1	21681
kansas_SRR13928116_NODE_23_length_82551_cov_16.946921_fragment_1	23588
kansas_SRR13928116_NODE_314_length_1208_cov_48.796485	1208
kansas_SRR13928116_NODE_62_length_41548_cov_17.331209_fragment_1	7947
kansas_SRR13928116_NODE_38_length_56161_cov_17.018614_fragment_1	24779
kansas_SRR13928116_NODE_61_length_42322_cov_3.822443	42322
kansas_SRR13928116_NODE_132_length_16433_cov_20.797375	16433
kansas_SRR13928116_NODE_170_length_10953_cov_23.314982	10953
kansas_SRR13928116_NODE_93_length_25304_cov_19.971005	25304
kansas_SRR13928116_NODE_209_length_5992_cov_3.661722	5992
kansas_SRR13928116_NODE_88_length_26723_cov_16.447323	26723
kansas_SRR13928116_NODE_19_length_99938_cov_17.089980_fragment_1	47067
kansas_SRR13928116_NODE_99_length_24160_cov_21.449465	24160
kansas_SRR13928116_NODE_2_length_356002_cov_18.252403_fragment_1	41757
kansas_SRR13928116_NODE_264_length_2546_cov_19.174039	2546
kansas_SRR13928117_NODE_6_length_351365_cov_29.791076_fragment_1	39627
kansas_SRR13928117_NODE_15_length_109282_cov_10.888993	109282
kansas_SRR13928117_NODE_11_length_179709_cov_28.852931_fragment_1	44251
kansas_SRR13928117_NODE_2_length_431098_cov_32.328598_fragment_1	8577
kansas_SRR13928117_NODE_3_length_430028_cov_27.450259_fragment_2	44501
kansas_SRR13928117_NODE_10_length_186705_cov_40.774486_fragment_1	22642
kansas_SRR13928117_NODE_8_length_232004_cov_31.465583_fragment_1	39490
kansas_SRR13928117_NODE_1_length_782623_cov_35.762317_fragment_2	38909
kansas_SRR13928118_NODE_47_length_22465_cov_37.207315	22465
kansas_SRR13928118_NODE_50_length_20348_cov_37.543297	20348
kansas_SRR13928118_NODE_85_length_1669_cov_34.565499	1669
kansas_SRR13928119_NODE_34_length_9873_cov_3.400985	9873
kansas_SRR13928119_NODE_44_length_5482_cov_4.456769	5482
kansas_SRR13928119_NODE_21_length_48313_cov_3.719109	48313
kansas_SRR13928119_NODE_36_length_8715_cov_3.575687	8715
kansas_SRR13928119_NODE_3_length_478571_cov_27.345374_fragment_1	33841
kansas_SRR13928119_NODE_39_length_6833_cov_3.286013	6833
kansas_SRR13928119_NODE_31_length_14870_cov_3.554568	14870
kansas_SRR13928119_NODE_11_length_136620_cov_21.774816_fragment_1	42203
