DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Prophage Length (bp)
COLOR	#9B59B6
WIDTH	200

DATA
2021_SRR13826913_NODE_10_length_205422_cov_30.617039	205422
2021_SRR14568782_NODE_15_length_140154_cov_15.541167_fragment_1	127140
2021_SRR14098021_NODE_4_length_201328_cov_8.485823_fragment_3	125608
2021_SRR16574913_NODE_2_length_431222_cov_29.530144_fragment_2	121656
2021_SRR15988971_NODE_17_length_112371_cov_13.562623	112371
2021_SRR13380765_NODE_18_length_112371_cov_16.659964	112371
2021_SRR16356433_NODE_12_length_112242_cov_14.256638	112242
2021_SRR13867138_NODE_15_length_112114_cov_9.297633	112114
2021_SRR13694419_NODE_14_length_111985_cov_17.556268	111985
2021_SRR14154183_NODE_12_length_111970_cov_21.363402	111970
2021_SRR14679041_NODE_14_length_111906_cov_15.843531	111906
2021_SRR17157299_NODE_16_length_111628_cov_35.142627	111628
2021_SRR14769240_NODE_14_length_111306_cov_22.300201	111306
2021_SRR14326160_NODE_15_length_111074_cov_21.979936	111074
2021_SRR16918963_NODE_18_length_111032_cov_35.902827	111032
2021_SRR13628053_NODE_16_length_110802_cov_83.798545	110802
2021_SRR17263741_NODE_12_length_110772_cov_44.836703	110772
2021_SRR15680675_NODE_16_length_110710_cov_14.723936	110710
2021_SRR13719152_NODE_13_length_159345_cov_21.928965_fragment_1	110708
2021_SRR15209002_NODE_17_length_110704_cov_5.739449	110704
2021_SRR13379971_NODE_12_length_110688_cov_9.028247	110688
2021_SRR17073955_NODE_14_length_110644_cov_22.664178	110644
2021_SRR14407454_NODE_14_length_110317_cov_29.008032	110317
2021_SRR16976077_NODE_14_length_110267_cov_18.773936	110267
2021_SRR14351968_NODE_16_length_109944_cov_43.015535	109944
2021_SRR15249471_NODE_13_length_109729_cov_9.075619	109729
2021_SRR13695274_NODE_13_length_109725_cov_32.478740	109725
2021_SRR13697430_NODE_14_length_109593_cov_43.144200	109593
2021_SRR14097994_NODE_19_length_109551_cov_10.614545	109551
2021_SRR16930597_NODE_19_length_109532_cov_25.483534	109532
2021_SRR15420327_NODE_18_length_109311_cov_13.925154	109311
2021_SRR16599573_NODE_16_length_109307_cov_34.376406	109307
2021_SRR13928117_NODE_15_length_109282_cov_10.888993	109282
2021_SRR14752839_NODE_19_length_109009_cov_8.130729	109009
2021_SRR14568782_NODE_17_length_108860_cov_16.360829	108860
2021_SRR14407178_NODE_12_length_108844_cov_25.206729	108844
2021_SRR15972743_NODE_11_length_108844_cov_26.837624	108844
2021_SRR17308412_NODE_20_length_108776_cov_11.258962	108776
2021_SRR16643711_NODE_14_length_106830_cov_9.571512	106830
2021_SRR14129403_NODE_16_length_106751_cov_22.862329	106751
2021_SRR15420331_NODE_19_length_105020_cov_8.384211	105020
2021_SRR14773379_NODE_16_length_103834_cov_10.893199	103834
2021_SRR17157297_NODE_17_length_99030_cov_37.413112	99030
2021_SRR14434347_NODE_19_length_96698_cov_15.207236	96698
2021_SRR14129403_NODE_21_length_95984_cov_21.352932	95984
2021_SRR14633198_NODE_19_length_95557_cov_27.148879	95557
2021_SRR17263741_NODE_16_length_94509_cov_41.805715	94509
2021_SRR16093195_NODE_17_length_93251_cov_22.928944	93251
2021_SRR16599573_NODE_22_length_92076_cov_32.224429	92076
2021_SRR14250543_NODE_3_length_388161_cov_67.545310_fragment_2	89945
2021_SRR15680675_NODE_19_length_88667_cov_15.333420	88667
2021_SRR14407154_NODE_28_length_79141_cov_22.043030	79141
2021_SRR13931703_NODE_28_length_63735_cov_25.783266	63735
2021_SRR14275796_NODE_25_length_63310_cov_12.885808	63310
2021_SRR16093202_NODE_24_length_63310_cov_17.772882	63310
2021_SRR14789572_NODE_24_length_59278_cov_3.784294	59278
2021_SRR15680675_NODE_15_length_135208_cov_23.567060_fragment_1	59221
2021_SRR16574913_NODE_7_length_252892_cov_38.234614_fragment_1	57437
2021_SRR17073955_NODE_9_length_142807_cov_19.318265_fragment_1	57165
2021_SRR13694419_NODE_11_length_124563_cov_29.845189_fragment_2	53824
2021_SRR14097980_NODE_18_length_98085_cov_5.684497_fragment_1	53765
2021_SRR16918963_NODE_5_length_278277_cov_23.843426_fragment_2	53733
2021_SRR15209002_NODE_6_length_227941_cov_37.300688_fragment_1	53625
2021_SRR16930597_NODE_12_length_158795_cov_32.875879_fragment_1	53271
2021_SRR16930597_NODE_2_length_399773_cov_37.130778_fragment_1	53050
2021_SRR16356433_NODE_2_length_651496_cov_25.454936_fragment_2	52274
2021_SRR16323481_NODE_3_length_261580_cov_24.708062_fragment_3	51379
2021_SRR13931701_NODE_37_length_50495_cov_13.244084	50495
2021_SRR14760151_NODE_35_length_49899_cov_55.377441	49899
2021_SRR14760151_NODE_36_length_49581_cov_53.642112	49581
